host_iso8601,host_unix_ns,elapsed_s,rx_interval_ms,record_type,stm32_time_ms,rx_present,rx_seq,pi_time_ms,tracking_valid,rx_age_ms,packet_x_cm,estimate_valid,accepted_raw_x_cm,estimated_x_cm,target_x_cm,estimated_vx_cm_s,motor_angle_deg,angle_command_deg,brake_p_offset_deg,terminal_offset_deg,brake_p_active,terminal_push_active,terminal_trim_active,terminal_brake_gate_active,sequence_stage,vision_age_ms,x_changed,x_unchanged_ms,raw_line
2026-09-23T14:22:29.976+08:00,1790144549976253600,0.026331,,capture_start,,,,,,,,,,,,,,,,,,,,,,,,,mode=task1
2026-09-23T14:22:29.976+08:00,1790144549976325300,0.026353,,host_command,,,,,,,,,,,,,,,,,,,,,,,,,csv vision
2026-09-23T14:22:29.976+08:00,1790144549976493200,0.026522,,host_command,,,,,,,,,,,,,,,,,,,,,,,,,task 1
2026-09-23T14:22:29.979+08:00,1790144549979202800,0.029203,,control_sample,,,,,,,,,,0.77,0.0,0.0,-0.02,30.67,0.0,0.0,0,0,0,0,0,2,1,0.000,"0.77,0.00,0.00,-0.02,30.67,0.00,0.00,0,0,0,0,0,2"
2026-09-23T14:22:29.980+08:00,1790144549980215300,0.030232,1.030,device_text,,,,,,,,,,,,,,,,,,,,,,,,,csv=vision
2026-09-23T14:22:29.983+08:00,1790144549983265100,0.033275,3.043,vision_sample,14499,1,5193,4575630,0,1,0.0,1,,-10.77,,0.0,,,,,,,,,,3,1,0.000,"V,14499,5193,4575630,0,1,0,1,-1077,0,3"
2026-09-23T14:22:29.987+08:00,1790144549987381100,0.037378,4.103,vision_sample,14504,1,5195,4575647,1,3,-10.77,1,,-10.77,,0.0,,,,,,,,,,2,0,4.103,"V,14504,5195,4575647,1,3,-1077,1,-1077,0,2"
2026-09-23T14:22:29.992+08:00,1790144549992383100,0.042381,5.002,vision_sample,14509,1,5195,4575647,1,8,-10.77,1,,-10.77,,0.0,,,,,,,,,,8,0,9.106,"V,14509,5195,4575647,1,8,-1077,1,-1077,0,8"
2026-09-23T14:22:29.997+08:00,1790144549997227700,0.047240,4.859,vision_sample,14514,1,5195,4575647,1,13,-10.77,1,,-10.77,,0.0,,,,,,,,,,12,0,13.965,"V,14514,5195,4575647,1,13,-1077,1,-1077,0,12"
2026-09-23T14:22:30.002+08:00,1790144550002222700,0.052235,4.995,vision_sample,14519,1,5195,4575647,1,18,-10.77,1,,-10.77,,0.0,,,,,,,,,,18,0,18.960,"V,14519,5195,4575647,1,18,-1077,1,-1077,0,18"
2026-09-23T14:22:30.007+08:00,1790144550007230200,0.057243,5.007,vision_sample,14524,1,5195,4575647,1,23,-10.77,1,,-10.77,,0.0,,,,,,,,,,22,0,23.968,"V,14524,5195,4575647,1,23,-1077,1,-1077,0,22"
2026-09-23T14:22:30.012+08:00,1790144550012350600,0.062350,5.107,vision_sample,14529,1,5195,4575647,1,28,-10.77,1,,-10.77,,0.0,,,,,,,,,,28,0,29.074,"V,14529,5195,4575647,1,28,-1077,1,-1077,0,28"
2026-09-23T14:22:30.017+08:00,1790144550017354200,0.067354,5.004,vision_sample,14534,1,5195,4575647,1,33,-10.77,1,,-10.77,,0.0,,,,,,,,,,32,0,34.079,"V,14534,5195,4575647,1,33,-1077,1,-1077,0,32"
2026-09-23T14:22:30.022+08:00,1790144550022221100,0.072234,4.880,vision_sample,14539,1,5195,4575647,1,38,-10.77,1,,-10.77,,0.0,,,,,,,,,,38,0,38.959,"V,14539,5195,4575647,1,38,-1077,1,-1077,0,38"
2026-09-23T14:22:30.027+08:00,1790144550027310600,0.077310,5.076,vision_sample,14544,1,5195,4575647,1,43,-10.77,1,,-10.77,,0.0,,,,,,,,,,42,0,44.035,"V,14544,5195,4575647,1,43,-1077,1,-1077,0,42"
2026-09-23T14:22:30.032+08:00,1790144550032290000,0.082289,4.979,vision_sample,14549,1,5199,4575677,1,0,-10.77,1,,-10.77,,0.0,,,,,,,,,,2,0,49.014,"V,14549,5199,4575677,1,0,-1077,1,-1077,0,2"
2026-09-23T14:22:30.037+08:00,1790144550037241600,0.087240,4.950,vision_sample,14554,1,5202,4575697,1,1,-10.77,1,,-10.77,,0.0,,,,,,,,,,3,0,53.965,"V,14554,5202,4575697,1,1,-1077,1,-1077,0,3"
