t,frame_seq,result_ready_t,capture_to_log_ms,inference_ms,refinement_ms,processing_ms,raw_x_cm,sent_x_cm,raw_vx_cm_s,sent_vx_cm_s,measurement_valid,tracking_valid,sent_valid,confidence,source,reason,actual_angle_deg,center_x_px,center_y_px,radius_px,measurement_x_cm,kalman_x_cm,kalman_vx_cm_s
4008.851945,1,4008.958326,106.3808,6.0670,1.0624,106.2342,-10.7651,0.0000,0.0000,0.0000,1,0,0,0.5199,yolo_box,waiting-for-confirmation,12.0000,919.0864,71.9230,22.0472,-10.7651,-10.7651,0.0000
4008.956556,2,4008.976620,20.0638,5.3664,0.4441,17.6612,-10.7582,-10.7582,0.0000,0.0000,1,1,1,0.2694,yolo_box,ok,12.0000,918.7911,71.2442,22.3098,-10.7582,-10.7582,0.0000
4008.984590,3,4008.999464,14.8740,5.1601,0.4716,14.5958,-10.7647,-10.7647,0.0000,0.0000,1,1,1,0.5323,yolo_box,ok,12.0000,919.0699,72.0317,22.3015,-10.7647,-10.7647,0.0000
4009.004322,4,4009.020397,16.0751,5.4192,0.5741,15.9621,-10.7617,-10.7617,0.0000,0.0000,1,1,1,0.4513,yolo_box,ok,12.0000,918.9387,72.0871,22.1949,-10.7617,-10.7617,0.0000
4009.021206,5,4009.035741,14.5346,5.1531,0.4374,14.4253,-10.7601,-10.7601,0.0000,0.0000,1,1,1,0.5869,yolo_box,ok,12.0000,918.8731,71.7036,21.8217,-10.7601,-10.7601,0.0000
4009.036440,6,4009.050600,14.1603,5.1039,0.4165,14.0492,-10.7568,-10.7568,0.0000,0.0000,1,1,1,0.2617,yolo_box,ok,12.0000,918.7274,72.5034,22.2502,-10.7568,-10.7568,0.0000
4009.052400,7,4009.067632,15.2315,5.1464,0.4202,15.1155,-10.7596,-10.7596,0.0000,0.0000,1,1,1,0.2547,yolo_box,ok,12.0000,918.8506,71.2216,22.2913,-10.7596,-10.7596,0.0000
4009.069191,8,4009.084439,15.2478,5.1451,0.4647,15.1393,-10.7617,-10.7617,0.0000,0.0000,1,1,1,0.5017,yolo_box,ok,12.0000,918.9407,71.7056,22.1724,-10.7617,-10.7617,0.0000
4009.085373,9,4009.099251,13.8778,5.1106,0.4135,13.7692,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.5869,yolo_box,ok,12.0000,919.0064,71.2647,21.9508,-10.7632,-10.7632,0.0000
4009.104227,10,4009.119069,14.8423,5.1472,0.4611,14.7399,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.5438,yolo_box,ok,12.0000,919.0064,71.9169,21.9508,-10.7632,-10.7632,0.0000
